price,Date
26.35,2022-04-09 00:45:00
26.27,2022-04-09 01:00:00
26.09,2022-04-09 01:15:00
26.16,2022-04-09 01:30:00
26.32,2022-04-09 01:45:00
26.21,2022-04-09 02:00:00
26.04,2022-04-09 02:15:00
25.53,2022-04-09 02:30:00
25.5,2022-04-09 02:45:00
25.64,2022-04-09 03:00:00
25.39,2022-04-09 03:15:00
25.6,2022-04-09 03:30:00
25.66,2022-04-09 03:45:00
25.6,2022-04-09 04:00:00
25.78,2022-04-09 04:15:00
25.78,2022-04-09 04:30:00
25.56,2022-04-09 04:45:00
25.78,2022-04-09 05:00:00
25.67,2022-04-09 05:15:00
25.58,2022-04-09 05:30:00
25.7,2022-04-09 05:45:00
25.48,2022-04-09 06:00:00
25.58,2022-04-09 06:15:00
25.54,2022-04-09 06:30:00
25.69,2022-04-09 06:45:00
25.59,2022-04-09 07:00:00
25.63,2022-04-09 07:15:00
25.64,2022-04-09 07:30:00
25.87,2022-04-09 07:45:00
25.84,2022-04-09 08:00:00
25.76,2022-04-09 08:15:00
25.98,2022-04-09 08:30:00
26.17,2022-04-09 08:45:00
25.96,2022-04-09 09:00:00
25.91,2022-04-09 09:15:00
25.97,2022-04-09 09:30:00
26.06,2022-04-09 09:45:00
25.78,2022-04-09 10:00:00
25.69,2022-04-09 10:15:00
25.88,2022-04-09 10:30:00
25.95,2022-04-09 10:45:00
25.95,2022-04-09 11:00:00
25.94,2022-04-09 11:15:00
25.79,2022-04-09 11:30:00
25.81,2022-04-09 11:45:00
25.74,2022-04-09 12:00:00
25.59,2022-04-09 12:15:00
25.72,2022-04-09 12:30:00
25.71,2022-04-09 12:45:00
25.66,2022-04-09 13:00:00
25.57,2022-04-09 13:15:00
